"statusCode","message","error","data__version__major","data__version__minor","data__version__build","data__version__revision","data__version__majorRevision","data__version__minorRevision","data__timeTaken","data__transactionGuid","data__apiHost","data__clientHost","data__queryStatusCode","data__parsedAddress__addressLocationType","data__parsedAddress__addressFormatType","data__parsedAddress__number","data__parsedAddress__numberFractional","data__parsedAddress__preDirectional","data__parsedAddress__preQualifier","data__parsedAddress__preType","data__parsedAddress__preArticle","data__parsedAddress__name","data__parsedAddress__postArticle","data__parsedAddress__postQualifier","data__parsedAddress__postDirectional","data__parsedAddress__suffix","data__parsedAddress__suiteType","data__parsedAddress__suiteNumber","data__parsedAddress__city","data__parsedAddress__minorCivilDivision","data__parsedAddress__consolidatedCity","data__parsedAddress__countySubRegion","data__parsedAddress__county","data__parsedAddress__state","data__parsedAddress__zip","data__parsedAddress__zipPlus1","data__parsedAddress__zipPlus2","data__parsedAddress__zipPlus3","data__parsedAddress__zipPlus4","data__parsedAddress__zipPlus5","data__parsedAddress__country","data__inputParameterSet__streetAddress","data__inputParameterSet__city","data__inputParameterSet__state","data__inputParameterSet__zip","data__inputParameterSet__version__major","data__inputParameterSet__version__minor","data__inputParameterSet__version__build","data__inputParameterSet__version__revision","data__inputParameterSet__version__majorRevision","data__inputParameterSet__version__minorRevision","data__inputParameterSet__apiKey","data__inputParameterSet__dontStoreTransactionDetails","data__inputParameterSet__allowTies","data__inputParameterSet__tieHandlingStrategyType","data__inputParameterSet__relaxableAttributes__001","data__inputParameterSet__relaxableAttributes__002","data__inputParameterSet__relaxableAttributes__003","data__inputParameterSet__relaxableAttributes__004","data__inputParameterSet__relaxableAttributes__005","data__inputParameterSet__relaxation","data__inputParameterSet__substring","data__inputParameterSet__soundex","data__inputParameterSet__soundexAttributes","data__inputParameterSet__referenceSources","data__inputParameterSet__featureMatchingSelectionMethod","data__inputParameterSet__attributeWeightingScheme__number","data__inputParameterSet__attributeWeightingScheme__numberParity","data__inputParameterSet__attributeWeightingScheme__preDirectional","data__inputParameterSet__attributeWeightingScheme__preType","data__inputParameterSet__attributeWeightingScheme__preQualifier","data__inputParameterSet__attributeWeightingScheme__preArticle","data__inputParameterSet__attributeWeightingScheme__name","data__inputParameterSet__attributeWeightingScheme__postArticle","data__inputParameterSet__attributeWeightingScheme__suffix","data__inputParameterSet__attributeWeightingScheme__postDirectional","data__inputParameterSet__attributeWeightingScheme__postQualifier","data__inputParameterSet__attributeWeightingScheme__city","data__inputParameterSet__attributeWeightingScheme__zip","data__inputParameterSet__attributeWeightingScheme__zipPlus4","data__inputParameterSet__attributeWeightingScheme__state","data__inputParameterSet__attributeWeightingScheme__totalWeight","data__inputParameterSet__minimumMatchScore","data__inputParameterSet__confidenceLevels","data__inputParameterSet__exhaustiveSearch","data__inputParameterSet__aliasTables","data__inputParameterSet__multiThreading","data__inputParameterSet__includeHeader","data__inputParameterSet__verbose","data__inputParameterSet__outputCensusVariables","data__inputParameterSet__outputReferenceFeatureGeometry","data__inputParameterSet__outputFormat","data__results__latitude","data__results__longitude","data__results__matchScore","data__results__geocodeQualityType","data__results__featureMatchingGeographyType","data__results__matchType","data__results__matchedLocationType","data__results__featureMatchingResultType","data__results__naaccr__gisCoordinateQualityCode","data__results__naaccr__gisCoordinateQualityType","data__results__naaccr__censusTractCertaintyCode","data__results__naaccr__censusTractCertaintyType","data__results__naaccr__microMatchStatus","data__results__naaccr__penaltyCode","data__results__naaccr__penaltyCodeSummary","data__results__naaccr__penaltyCodeDetails__matchScore","data__results__naaccr__penaltyCodeDetails__inputType","data__results__naaccr__penaltyCodeDetails__streetType","data__results__naaccr__penaltyCodeDetails__streetName","data__results__naaccr__penaltyCodeDetails__city","data__results__naaccr__penaltyCodeDetails__cityRefs","data__results__naaccr__penaltyCodeDetails__zipPenalty","data__results__naaccr__penaltyCodeDetails__directionals","data__results__naaccr__penaltyCodeDetails__qualifiers","data__results__naaccr__penaltyCodeDetails__distance","data__results__naaccr__penaltyCodeDetails__outlierDistance","data__results__naaccr__penaltyCodeDetails__censusBlocks","data__results__naaccr__penaltyCodeDetails__censusTracts","data__results__naaccr__penaltyCodeDetails__county","data__results__naaccr__penaltyCodeDetails__recordCount","data__results__naaccr__penaltyCodeDetails__matchScoreSummary","data__results__naaccr__penaltyCodeDetails__inputTypeSummary","data__results__naaccr__penaltyCodeDetails__streetTypeSummary","data__results__naaccr__penaltyCodeDetails__streetNameSummary","data__results__naaccr__penaltyCodeDetails__citySummary","data__results__naaccr__penaltyCodeDetails__cityRefsSummary","data__results__naaccr__penaltyCodeDetails__zipPenaltySummary","data__results__naaccr__penaltyCodeDetails__directionalsSummary","data__results__naaccr__penaltyCodeDetails__qualifiersSummary","data__results__naaccr__penaltyCodeDetails__distanceSummary","data__results__naaccr__penaltyCodeDetails__outlierDistanceSummary","data__results__naaccr__penaltyCodeDetails__censusBlocksSummary","data__results__naaccr__penaltyCodeDetails__censusTractsSummary","data__results__naaccr__penaltyCodeDetails__countySummary","data__results__naaccr__penaltyCodeDetails__recordCountSummary","data__results__queryStatusCodes","data__results__tieHandlingStrategyType","data__results__featureMatchingSelectionMethod","data__results__matchedAddress__addressLocationType","data__results__matchedAddress__addressFormatType","data__results__matchedAddress__number","data__results__matchedAddress__numberFractional","data__results__matchedAddress__preDirectional","data__results__matchedAddress__preQualifier","data__results__matchedAddress__preType","data__results__matchedAddress__preArticle","data__results__matchedAddress__name","data__results__matchedAddress__postArticle","data__results__matchedAddress__postQualifier","data__results__matchedAddress__postDirectional","data__results__matchedAddress__suffix","data__results__matchedAddress__suiteType","data__results__matchedAddress__suiteNumber","data__results__matchedAddress__city","data__results__matchedAddress__minorCivilDivision","data__results__matchedAddress__consolidatedCity","data__results__matchedAddress__countySubRegion","data__results__matchedAddress__county","data__results__matchedAddress__state","data__results__matchedAddress__zip","data__results__matchedAddress__zipPlus1","data__results__matchedAddress__zipPlus2","data__results__matchedAddress__zipPlus3","data__results__matchedAddress__zipPlus4","data__results__matchedAddress__zipPlus5","data__results__matchedAddress__country","data__results__referenceFeature__address__addressLocationType","data__results__referenceFeature__address__addressFormatType","data__results__referenceFeature__address__number","data__results__referenceFeature__address__numberFractional","data__results__referenceFeature__address__preDirectional","data__results__referenceFeature__address__preQualifier","data__results__referenceFeature__address__preType","data__results__referenceFeature__address__preArticle","data__results__referenceFeature__address__name","data__results__referenceFeature__address__postArticle","data__results__referenceFeature__address__postQualifier","data__results__referenceFeature__address__postDirectional","data__results__referenceFeature__address__suffix","data__results__referenceFeature__address__suiteType","data__results__referenceFeature__address__suiteNumber","data__results__referenceFeature__address__city","data__results__referenceFeature__address__minorCivilDivision","data__results__referenceFeature__address__consolidatedCity","data__results__referenceFeature__address__countySubRegion","data__results__referenceFeature__address__county","data__results__referenceFeature__address__state","data__results__referenceFeature__address__zip","data__results__referenceFeature__address__zipPlus1","data__results__referenceFeature__address__zipPlus2","data__results__referenceFeature__address__zipPlus3","data__results__referenceFeature__address__zipPlus4","data__results__referenceFeature__address__zipPlus5","data__results__referenceFeature__address__country","data__results__referenceFeature__area","data__results__referenceFeature__areaType","data__results__referenceFeature__geometrySRID","data__results__referenceFeature__geometry","data__results__referenceFeature__source","data__results__referenceFeature__vintage","data__results__referenceFeature__primaryIdField","data__results__referenceFeature__primaryIdValue","data__results__referenceFeature__secondaryIdField","data__results__referenceFeature__secondaryIdValue","data__results__referenceFeature__interpolationType","data__results__referenceFeature__interpolationSubType"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ParcelGeometries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ParcelCentroids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BoundarySolutionsParcelCentroids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NavteqStreets2008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NavteqStreets2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ESRIStreetMapNorthAmerica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2016TigerLines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2015TigerLines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2010TigerLines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2005TigerLines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USPSTigerZipPlus4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ZipCodeDownloadZips2013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2010ZCTAs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2000ZCTAs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2010Places","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2000Places","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2010ConsolidatedCities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2010CountySubRegions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2000CountySubRegions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2010Counties","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2000Counties","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2010States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200","Success","null","5","0","0","-1","-1","-1","0.0471361","c799ebfc-d610-450a-aa30-683b733f0059","geoservices.tamu.edu","geoservices.tamu.edu","Success","StreetAddress","LACounty","8797","null","null","null","null","null","9TH","null","null","null","AVE","null","null","PORT ARTHUR","null","null","null","null","TX","77642","null","null","null","null","null","null","8797 9TH AVENUE","PORT ARTHUR","TX","77642","5","0","0","0","0","0","4eb436346c6b4c24a83478142a9a28b7","False","False","RevertToHierarchy","PreDirectional","Suffix","PostDirectional","City","Zip","True","True","True","Name,City","MicrosoftFootprints","FeatureClassBased","20.0","4.0","7.0","5.0","4.0","2.0","45.0","2.0","10.0","4.0","3.0","17.0","45.0","1.0","1.0","169.0","70.0","7","False","False","False","False","True","True","False","json","29.9527920161783","-93.9856728567797","96.0","RoofTop","BuildingCentroid","Relaxed","StreetAddress","Success","00","AddressPoint","1","ResidenceStreetAddress","Match","MMMM3MMMMMFFF0","MMMMRMMMMMMMMM","M","M","M","M","3","M","M","M","M","M","M","F","F","F","0","M","M","M","M","R","M","M","M","M","M","M","M","M","M","M","Failure","Unknown","FeatureClassBased","StreetAddress","USPSPublication28","8797","null","null","null","null","null","9TH","null","null","null","AVE","null","null","PORT ARTHUR","null","null","null","null","TX","77642","null","null","null","null","null","null","StreetAddress","USPSPublication28","8797","null","null","null","null","null","9TH","null","null","null","AVE","null","null","Groves","null","null","null","JEFFERSON","TX","77642","null","null","null","","null","US","6778.591686487198","Meters","null","null","MicrosoftFootprints","2020","footPrintID","7529265","uniqueId","7206211","ArealInterpolation","ArealInterpolationGeometricCentroid"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CountyParcelData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NavteqAddressPoints2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","OpenAddresses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NavteqAddressPoints2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NavteqAddressPoints2014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NavteqAddressPoints2013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NavteqAddressPoints2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ParcelGeometries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ParcelCentroids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BoundarySolutionsParcelCentroids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NavteqStreets2008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NavteqStreets2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ESRIStreetMapNorthAmerica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2016TigerLines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2015TigerLines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2010TigerLines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2005TigerLines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USPSTigerZipPlus4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ZipCodeDownloadZips2013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Census2010ZCTAs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
